date,product,category,quantity,unit_price
2026-06-01,Keyboard,Accessories,3,24.99
2026-06-01,Mouse,Accessories,5,14.99
2026-06-01,Monitor,Displays,2,179.99
2026-06-02,USB-C Cable,Cables,10,6.99
2026-06-02,Webcam,Accessories,4,39.99
2026-06-02,Laptop Stand,Accessories,6,29.99
2026-06-03,HDMI Cable,Cables,8,8.99
2026-06-03,Desk Lamp,Office,3,34.99
2026-06-03,Notebook,Stationery,12,2.49
2026-06-04,Pen Pack,Stationery,15,3.99
2026-06-04,Wireless Charger,Accessories,4,22.99
2026-06-04,External SSD,Storage,2,89.99
2026-06-05,USB Flash Drive,Storage,7,11.99
2026-06-05,Office Chair,Office,1,149.99
2026-06-05,Ethernet Cable,Cables,9,5.49
2026-06-06,Keyboard,Accessories,2,24.99
2026-06-06,Mouse,Accessories,6,14.99
2026-06-06,Monitor,Displays,1,179.99
2026-06-07,USB-C Cable,Cables,14,6.99
2026-06-07,Webcam,Accessories,3,39.99
2026-06-07,Laptop Stand,Accessories,5,29.99
2026-06-08,HDMI Cable,Cables,6,8.99
2026-06-08,Desk Lamp,Office,2,34.99
2026-06-08,Notebook,Stationery,20,2.49
2026-06-09,Pen Pack,Stationery,11,3.99
2026-06-09,Wireless Charger,Accessories,5,22.99
2026-06-09,External SSD,Storage,3,89.99
2026-06-10,USB Flash Drive,Storage,10,11.99
2026-06-10,Office Chair,Office,2,149.99
2026-06-10,Ethernet Cable,Cables,13,5.49
2026-06-11,Keyboard,Accessories,4,24.99
2026-06-11,Mouse,Accessories,8,14.99
2026-06-11,Monitor,Displays,2,179.99
2026-06-12,USB-C Cable,Cables,16,6.99
2026-06-12,Webcam,Accessories,2,39.99
2026-06-12,Laptop Stand,Accessories,4,29.99
2026-06-13,HDMI Cable,Cables,7,8.99
2026-06-13,Desk Lamp,Office,4,34.99
2026-06-13,Notebook,Stationery,18,2.49
2026-06-14,Pen Pack,Stationery,9,3.99
2026-06-14,Wireless Charger,Accessories,6,22.99
2026-06-14,External SSD,Storage,1,89.99
2026-06-15,USB Flash Drive,Storage,12,11.99
2026-06-15,Office Chair,Office,1,149.99
2026-06-15,Ethernet Cable,Cables,15,5.49
2026-06-16,Keyboard,Accessories,5,24.99
2026-06-16,Mouse,Accessories,7,14.99
2026-06-16,Monitor,Displays,1,179.99
2026-06-17,USB-C Cable,Cables,11,6.99
2026-06-17,Webcam,Accessories,5,39.99
2026-06-17,Laptop Stand,Accessories,3,29.99
2026-06-18,HDMI Cable,Cables,10,8.99
2026-06-18,Desk Lamp,Office,2,34.99
2026-06-18,Notebook,Stationery,22,2.49
2026-06-19,Pen Pack,Stationery,13,3.99
2026-06-19,Wireless Charger,Accessories,3,22.99
2026-06-19,External SSD,Storage,2,89.99
2026-06-20,USB Flash Drive,Storage,9,11.99
2026-06-20,Office Chair,Office,1,149.99
2026-06-20,Ethernet Cable,Cables,17,5.49
