transaction_id,datetime,customer_id,amount,currency,country,type
T00297,2026-04-12 23:32:45,C027,315.4,EUR,France,deposit
T00220,2026-04-03 16:14:53,C034,446.72,EUR,Spain,deposit
T00364,2026-04-06 06:07:27,C037,427.23,EUR,Austria,withdrawal
T00379,2026-05-23 10:59:26,C030,152.03,EUR,Germany,deposit
T00347,2026-03-15 05:09:29,C033,640.5,EUR,Italy,withdrawal
T00360,2026-05-11 06:04:31,C012,636.2,EUR,Germany,withdrawal
T00171,2026-03-15 14:44:48,C037,441.39,EUR,Spain,deposit
T00308,2026-03-24 19:44:18,C023,107.15,EUR,Portugal,transfer
T00064,2026-04-02 02:58:55,C022,1273.62,EUR,Ireland,withdrawal
T00310,2026-03-20 00:19:58,C027,146.12,EUR,Italy,deposit
T00276,2026-05-08 07:57:07,C039,345.63,EUR,Portugal,deposit
T00271,2026-04-21 03:28:22,C040,1884.77,EUR,Italy,deposit
T00418,2026-03-20 00:13:55,C035,6964.1,EUR,Iran,withdrawal
T00263,2026-05-01 23:41:07,C031,2032.57,EUR,Portugal,deposit
T00083,2026-03-02 19:26:50,C019,406.58,EUR,Spain,deposit
T00429,2026-03-28 21:27:13,C026,8871.01,EUR,Italy,deposit
T00065,2026-03-29 23:40:15,C002,997.86,EUR,Netherlands,deposit
T00074,2026-05-12 22:13:17,C018,1449.92,EUR,Portugal,transfer
T00321,2026-03-10 10:53:46,C014,1144.15,EUR,Ireland,deposit
T00033,2026-04-22 22:35:51,C016,991.07,EUR,Austria,transfer
T00296,2026-04-29 02:05:52,C031,396.91,EUR,Germany,transfer
T00342,2026-05-16 23:14:07,C003,1340.55,EUR,Austria,deposit
T00395,2026-03-06 02:12:05,C005,11389.68,EUR,France,transfer
T00117,2026-03-30 03:17:26,C005,181.72,EUR,Spain,withdrawal
T00118,2026-04-26 06:03:25,C007,2585.36,EUR,Italy,transfer
T00099,2026-04-12 11:41:21,C032,2608.32,EUR,Ireland,transfer
T00160,2026-04-04 11:14:59,C036,1331.94,EUR,Germany,withdrawal
T00078,2026-04-27 00:37:40,C016,1527.09,EUR,Portugal,deposit
T00125,2026-04-07 10:44:56,C007,257.79,EUR,Belgium,deposit
T00119,2026-04-25 05:18:00,C020,1270.37,EUR,Netherlands,deposit
T00062,2026-05-22 15:36:19,C026,1013.34,EUR,Italy,deposit
T00109,2026-03-01 10:17:52,C018,207.55,EUR,Spain,transfer
T00335,2026-04-12 22:34:49,C030,277.91,EUR,Ireland,withdrawal
T00236,2026-03-27 12:23:09,C004,269.51,EUR,Portugal,transfer
T00380,2026-04-17 23:37:34,C018,249.21,EUR,Italy,deposit
T00269,2026-05-22 09:22:00,C013,1356.1,EUR,Portugal,transfer
T00341,2026-05-28 15:13:47,C039,630.49,EUR,Austria,transfer
T00060,2026-03-04 14:09:28,C015,648.72,EUR,Portugal,withdrawal
T00131,2026-04-07 12:19:56,C011,78.23,EUR,Portugal,deposit
T00262,2026-04-22 12:01:32,C034,382.95,EUR,Italy,transfer
T00281,2026-03-03 14:24:57,C004,877.8,EUR,Spain,withdrawal
T00413,2026-05-04 01:55:03,C005,5358.06,EUR,North Korea,deposit
T00209,2026-04-28 01:20:47,C031,1956.7,EUR,Italy,withdrawal
T00416,2026-04-07 20:31:39,C030,567.74,EUR,Iran,withdrawal
T00084,2026-03-02 20:54:03,C018,1573.55,EUR,Italy,withdrawal
T00157,2026-03-20 23:54:39,C020,386.57,EUR,France,withdrawal
T00092,2026-05-20 21:28:24,C030,280.42,EUR,Spain,transfer
T00391,2026-03-10 19:14:03,C008,26049.77,EUR,Belgium,transfer
T00424,2026-03-10 21:33:00,C033,1634.87,EUR,Syria,transfer
T00326,2026-03-11 22:31:23,C028,206.1,EUR,Ireland,withdrawal
T00223,2026-03-29 04:25:07,C011,1864.12,EUR,Austria,deposit
T00004,2026-03-01 21:48:24,C011,875.37,EUR,Austria,withdrawal
T00373,2026-05-02 05:10:34,C021,5576.15,EUR,Ireland,transfer
T00189,2026-05-04 19:39:08,C032,312.14,EUR,Italy,transfer
T00218,2026-03-18 19:16:37,C010,288.85,EUR,Belgium,withdrawal
T00344,2026-04-12 15:40:20,C003,875.66,EUR,Ireland,deposit
T00003,2026-03-26 05:33:52,C033,280.92,EUR,Belgium,withdrawal
T00433,2026-03-19 18:19:15,C029,9855.76,EUR,Ireland,deposit
T00204,2026-05-25 03:07:01,C010,391.78,EUR,Germany,transfer
T00248,2026-05-18 10:53:41,C021,1767.52,EUR,Ireland,transfer
T00259,2026-04-14 16:06:23,C010,422.35,EUR,Italy,transfer
T00191,2026-04-26 01:35:26,C010,5954.83,EUR,Germany,withdrawal
T00401,2026-04-25 04:13:22,C016,14234.93,EUR,Italy,transfer
T00392,2026-03-17 14:05:03,C001,74153.92,EUR,Netherlands,transfer
T00346,2026-05-26 21:25:47,C037,334.23,EUR,Portugal,transfer
T00221,2026-04-27 06:17:10,C040,654.92,EUR,Italy,transfer
T00005,2026-03-11 03:07:06,C032,485.19,EUR,Belgium,transfer
T00135,2026-05-29 11:00:08,C040,420.22,EUR,Portugal,transfer
T00063,2026-03-28 16:33:18,C030,342.34,EUR,Netherlands,withdrawal
T00143,2026-04-12 05:22:20,C036,373.65,EUR,France,transfer
T00208,2026-05-27 16:54:59,C023,973.55,EUR,Germany,transfer
T00394,2026-03-03 21:23:06,C031,72062.22,EUR,Italy,transfer
T00412,2026-04-23 11:38:54,C027,2408.38,EUR,Iran,withdrawal
T00150,2026-05-10 11:50:22,C010,263.76,EUR,Belgium,withdrawal
T00037,2026-03-29 00:51:41,C030,182.47,EUR,France,transfer
T00357,2026-05-18 21:29:14,C030,1759.62,EUR,Spain,deposit
T00238,2026-03-16 09:44:18,C033,764.94,EUR,Portugal,withdrawal
T00190,2026-03-17 21:44:42,C034,226.76,EUR,Belgium,withdrawal
T00400,2026-04-09 15:55:42,C026,48325.2,EUR,Italy,transfer
T00174,2026-05-05 23:03:18,C022,94.99,EUR,Italy,deposit
T00382,2026-03-02 00:17:36,C007,319.62,EUR,Portugal,transfer
T00200,2026-04-27 22:24:14,C031,945.32,EUR,Portugal,deposit
T00370,2026-03-22 11:47:01,C037,482.8,EUR,Austria,transfer
T00232,2026-04-13 20:31:14,C011,1599.21,EUR,Belgium,deposit
T00264,2026-05-23 20:54:12,C019,304.98,EUR,Italy,deposit
T00355,2026-04-03 17:49:17,C012,513.85,EUR,Italy,transfer
T00287,2026-04-24 19:22:01,C002,2632.69,EUR,Austria,withdrawal
T00407,2026-05-20 02:48:21,C017,6554.75,EUR,Panama,withdrawal
T00243,2026-05-10 10:30:27,C026,136.79,EUR,Netherlands,deposit
T00080,2026-04-12 12:48:32,C031,754.31,EUR,Austria,transfer
T00419,2026-05-21 00:20:57,C002,2480.48,EUR,Myanmar,withdrawal
T00002,2026-04-03 18:13:32,C008,455.44,EUR,Malta,deposit
T00257,2026-04-10 17:28:08,C015,2748.47,EUR,Portugal,withdrawal
T00237,2026-04-21 04:45:39,C010,238.07,EUR,Netherlands,withdrawal
T00036,2026-04-30 08:05:54,C011,1093.87,EUR,Malta,deposit
T00230,2026-04-05 04:33:26,C006,231.57,EUR,Austria,transfer
T00409,2026-05-13 04:11:57,C024,1837.13,EUR,North Korea,deposit
T00051,2026-03-07 20:17:40,C012,3115.31,EUR,Portugal,deposit
T00072,2026-05-18 19:35:39,C010,457.52,EUR,Spain,withdrawal
T00050,2026-03-14 15:28:44,C026,210.76,EUR,Malta,deposit
T00216,2026-03-04 05:11:54,C029,928.41,EUR,Germany,transfer
T00130,2026-05-07 18:16:11,C013,193.82,EUR,Netherlands,withdrawal
T00393,2026-05-27 06:17:25,C037,37645.7,EUR,Austria,transfer
T00214,2026-05-09 10:41:44,C028,129.63,EUR,Germany,withdrawal
T00034,2026-03-23 15:00:40,C010,1573.82,EUR,Germany,deposit
T00133,2026-05-14 13:52:21,C030,296.37,EUR,Spain,transfer
T00107,2026-04-30 08:52:26,C019,677.8,EUR,Portugal,withdrawal
T00235,2026-04-28 02:39:24,C016,2961.31,EUR,Spain,transfer
T00339,2026-04-22 18:10:44,C038,72.54,EUR,Italy,deposit
T00206,2026-04-15 02:27:35,C025,503.36,EUR,Malta,withdrawal
T00261,2026-03-31 08:49:39,C018,154.9,EUR,Belgium,deposit
T00268,2026-05-04 17:02:24,C035,933.61,EUR,Germany,withdrawal
T00234,2026-05-22 10:59:56,C002,659.76,EUR,Spain,withdrawal
T00372,2026-04-01 05:19:28,C027,1272.92,EUR,Germany,transfer
T00055,2026-03-10 10:24:10,C034,644.67,EUR,Portugal,deposit
T00239,2026-04-29 18:09:33,C016,376.28,EUR,Austria,withdrawal
T00292,2026-05-13 21:46:10,C015,4088.8,EUR,Netherlands,transfer
T00146,2026-04-27 13:10:53,C027,779.27,EUR,Portugal,transfer
T00331,2026-04-01 20:49:27,C019,364.09,EUR,Austria,transfer
T00028,2026-03-12 23:05:36,C017,672.6,EUR,Malta,withdrawal
T00149,2026-03-11 11:43:39,C007,563.19,EUR,Italy,transfer
T00307,2026-04-28 06:07:30,C022,81.44,EUR,Portugal,transfer
T00186,2026-03-17 21:39:53,C038,283.76,EUR,Ireland,transfer
T00298,2026-04-18 22:01:34,C029,1020.8,EUR,Spain,transfer
T00231,2026-05-15 21:08:26,C020,808.26,EUR,Germany,deposit
T00138,2026-05-18 14:51:32,C010,3731.06,EUR,Portugal,withdrawal
T00329,2026-04-22 03:45:38,C018,522.93,EUR,Austria,deposit
T00422,2026-05-06 15:02:20,C018,1290.73,EUR,Iran,transfer
T00129,2026-04-11 15:07:40,C038,523.1,EUR,Spain,deposit
T00241,2026-04-06 19:32:25,C004,287.51,EUR,Portugal,deposit
T00169,2026-03-10 14:27:24,C015,666.76,EUR,Netherlands,transfer
T00313,2026-03-14 03:30:24,C019,2660.48,EUR,Germany,transfer
T00365,2026-05-05 04:07:18,C037,3293.25,EUR,Austria,transfer
T00369,2026-03-27 07:32:04,C040,850.47,EUR,Germany,deposit
T00265,2026-03-23 15:12:53,C035,7803.35,EUR,Malta,deposit
T00277,2026-05-12 04:05:07,C039,503.94,EUR,Italy,deposit
T00273,2026-04-03 23:47:59,C029,220.64,EUR,Malta,withdrawal
T00134,2026-05-19 20:26:24,C024,302.1,EUR,Malta,withdrawal
T00434,2026-03-20 11:19:15,C029,8568.53,EUR,Spain,deposit
T00251,2026-05-13 08:17:04,C002,815.43,EUR,Belgium,transfer
T00059,2026-05-08 19:53:02,C002,262.85,EUR,Ireland,transfer
T00106,2026-05-22 05:36:21,C027,2172.92,EUR,Italy,withdrawal
T00440,2026-03-14 15:49:20,C018,9460.8,EUR,Italy,deposit
T00363,2026-05-02 06:05:22,C032,504.71,EUR,Portugal,deposit
T00022,2026-05-12 19:02:02,C003,913.58,EUR,Belgium,withdrawal
T00207,2026-04-12 04:51:26,C016,1750.2,EUR,Belgium,deposit
T00039,2026-04-03 06:30:05,C033,1669.43,EUR,Italy,transfer
T00383,2026-03-30 13:56:49,C022,579.28,EUR,Italy,deposit
T00145,2026-03-07 04:36:54,C016,764.63,EUR,Spain,transfer
